row_id,trigger,target,specification
609,arriving at social gathering,greeting everyone present,greet everyone including children
610,,,
611,sitting down to a meal,when to start eating,wait for the host's indication
612,sitting down to a meal,when to start eating,wait until the host begins eating
613,,,
614,receiving a gift,how to open the gift,open in the presence of the giver
615,giving a gift,type of gift,choose thoughtful yet simple items
616,,,
617,passing objects,which hand to use,use right hand or both hands
618,passing objects,which hand to use,use right hand or both hands
619,passing objects,which hand to use,use right hand or both hands
620,being offered refreshments,acceptance of refreshments,accept the refreshments offered
621,,,
622,being offered refreshments,how to respond,accept the refreshments politely
623,sharing a meal,which hand to use for eating,use only the right hand
624,eating without utensils,which hand to use,use only the right hand
625,finishing a meal,how to signal satisfaction,leave a little food on the plate
626,giving or receiving a gift,how to handle the gift,use both hands
627,giving or receiving a gift,how to handle the gift,use both hands
628,giving or receiving a gift,how to handle the gift,use both hands
629,entering a carpeted room or noticing the host has removed shoes,removing shoes,remove shoes before entering
630,entering a house or carpeted room,shoe removal,remove shoes before entering
631,entering a carpeted room or place of worship,shoe removal,remove shoes before entering
632,finishing a meal,how much food to eat,leave a small amount of food
633,leaving the table after a meal,when to leave,wait until everyone has finished
634,leaving the table,when to leave,wait until everyone has finished
635,giving or accepting a gift,how to handle the gift,use both hands or right hand
636,giving or receiving a gift,how to handle the gift,use both hands or the right hand
637,giving or receiving gifts,how to handle the gift,use both hands or right hand alone
638,giving or receiving objects,which hand to use,avoid using the left hand alone
639,giving or receiving anything,how to use hands,use two hands or right hand only
640,handing something to someone,how to give or receive items,use both hands or your right hand
641,visiting someone's home,bringing a gift,bring a small gift for the hostess
642,,,
643,,,
644,,,
645,dining etiquette,how to use hands,use the right hand for eating and passing food
646,,,
647,receiving a gift,initial response,initially refuse the gift
648,giving or receiving a gift,how to handle the gift,use both hands and do not open immediately
649,giving and receiving gifts,how to handle the gift,use both hands and do not open immediately
650,extending an invitation,number of times,extend multiple times to show sincerity
651,offering something,response to refusal,offer more than once
652,social exchange,offering and declining gestures,offer and decline multiple times
653,visiting someone's home for the first time,bringing a gift,always bring a gift
654,visiting someone's home for the first time,bringing a gift,always bring a gift
655,entering someone's home,shoe removal,remove shoes before entering
656,being offered food from a shared platter,how to accept the gesture,accept graciously and with respect
657,starting to eat,offering food to others,offer food to others first
658,starting to eat,offering food,offer food to everyone present
659,participating in communal experience,behavior during the event,show patience and respect throughout
660,during a coffee ceremony,duration of stay,stay for the entire duration
661,communal beverage service,participation duration,stay until all rounds are completed
662,giving or receiving gifts,how to pass or receive,use both hands or right hand only
663,giving or receiving gifts,how to handle gifts,use both hands or the right hand
664,giving or receiving gifts,how to handle the gift,use right hand or both hands and do not open immediately
665,someone brings good news,offering treats or refreshments,offer treats or drinks
666,"seeing an elderly person, pregnant woman, or woman with a small child",offering a seat,offer your seat if they need it
667,paying the bill,who pays,offer to pay and politely refuse others' money
668,accepting an offer from a host,how to respond to offers,accept the offer as a sign of politeness
669,visiting someone's home,duration of socializing,stay and socialize for extended periods
670,guest leaving the house,watching their departure,always watch a guest walk away
671,,,
672,,,
673,during a meal,declining food,politely decline multiple times
674,giving flowers as a gift,number of flowers in bouquet,ensure the bouquet has an odd number
675,visiting someone's home for the first time or on a special occasion,type of gift to bring,"bring a small, thoughtful gift"
676,bringing a gift to someone's home,how to select the gift,choose thoughtfully considering preferences and sensitivities
677,being the host or inviter,who pays for the meal or event,cover the cost of the meal or event
678,hosting a meal or outing,who pays the costs,cover the costs if you are the host
679,older person enters the room,behavior of others,stand up as a sign of respect
680,being offered something,initial response,decline politely at first
681,receiving an offer or gesture,initial response,"politely decline first, accept after insistence"
682,receiving an initial offer,response to the offer,decline politely and modestly
683,,,
684,being offered goodbye coffee,when to leave,leave shortly after the offer
685,ending a visit,accepting goodbye coffee,accept as a sign of respect
686,sitting down to a meal,when to start eating,wait for everyone to be served and host to start
687,sitting down to a meal,when to start eating,wait for everyone to be served and host to start
688,being offered food,how to respond to multiple helpings,accept multiple helpings to show appreciation
689,offering a gift,how to present the gift,offer with two hands or right hand only
690,presenting a gift,how to offer the gift,use two hands or right hand only
691,accepting gifts,how to offer and receive gifts,use both hands or the right hand only
692,offering or receiving items,which hand to use,use the right hand or both hands
693,being offered something,initial response to the offer,initially decline before accepting
694,giving or receiving items,which hand to use,use right hand or both hands
695,,,
696,at the end of a meal,who pays the bill,offer to contribute before paying
697,,,
698,passing items,which hand to use,use right hand or both hands
699,passing or receiving items,which hand to use,use right hand or both hands
700,giving or receiving items,which hand to use,use right hand or both hands
701,being offered tea by a host,how to respond,accept the offer to acknowledge hospitality
702,social visits,arrival time,arrive a bit after the designated time
703,guests departing,how to say goodbye,walk with them for some distance
704,before beginning a communal meal,handwashing,ensure everyone has washed their hands
705,starting a meal,offering food to others,offer food before starting to eat
706,serving food in a group,order of serving,serve men first
707,returning a gift bag,what to include inside,return with something inside
708,receiving a gift,returning the container,always return it with something inside
709,returning a container,what to include when returning,return with something inside
710,initial conversations,asking personal questions,avoid asking personal questions
711,social interactions,behavior during conversations,maintain composure and politeness
712,during social interaction,asking personal questions,avoid questions causing discomfort or invasion of privacy
713,eating at someone's home,help with meal tasks,offer to help with preparation or cleanup
714,being invited to someone's home,what to ask the host,ask what you can bring
715,eating at someone's home,offering assistance,offer to help with meal prep or clean-up
716,dining out with friends,sharing the cost of meals and drinks,participate in sharing the cost
717,dining out in a group,contributing to the bill,"split evenly, pay for your order, or buy rounds"
718,paying for a meal,expenses and reciprocation,cover your own expenses and reciprocate
719,receiving a gift,when to open the gift,open it immediately to show appreciation
720,presenting a gift,how to choose the gift,"be thoughtful, not necessarily expensive"
721,visiting someone,bringing a token of appreciation,"bring a small, thoughtful gift"
722,engaging with personal items,how to interact,seek permission before handling
723,before taking photographs,asking for permission,ask for permission first
724,engaging with personal artifacts,permission to interact,ask for permission beforehand
725,attending social events,timeliness,prioritize relationships over strict time adherence
726,arriving at social events,timing of arrival,arrive later than the designated time
727,arriving at social events,punctuality,arrive later to prioritize relationships
728,visiting a friend's house,bringing a gift for children,bring a small gift
729,being invited to a friend's house,showing appreciation,accept the invitation and acknowledge everyone
730,arriving at a gathering,greeting everyone present,greet everyone upon arrival
731,dining at a table,participation in conversation,include everyone in the conversation
732,dining table conversations,who to include,include everyone in conversations
733,dining events,seating and conversation,follow the host's seating plan and include everyone
734,choosing a gift,type of gift,select items symbolizing nourishment or enjoyment
735,receiving a gift,how to open the gift,open the gift when received
736,visiting someone's home,type of gift,"bring small, non-sharp gifts"
737,passing items to others,which hand to use,use right hand or both hands
738,passing or receiving items,which hand to use,use right hand or both hands
739,giving or receiving items,which hand to use,use right hand or both hands
740,visiting someone's home,removing shoes,remove shoes before entering
741,entering a home,footwear,remove your shoes
742,accepting food or drink from a host,how much to consume,accept even a small amount
743,communal meal,guest's position,maintain lower or equal height level
744,sharing a meal,when to start eating,wait for everyone to be ready
745,dining with others,utensil use and posture,follow the host's body posture or utensil orientation
746,giving a gift,how to hand over the gift,use the right hand and support with the left elbow
747,giving a gift,how to present the gift,use the right hand and support the right elbow
748,giving a gift,how to present the gift,do not expect it to be opened or thanked in front of the giver
749,being offered something,acceptance of offer,accept to show trust and respect
750,accepting offerings,showing trust and respect,accept offerings to demonstrate trust and respect
751,being offered something,acceptance,accept what is offered
752,being offered something by the host,how to respond,accept the offer politely and express desire to stay longer
753,leaving a host's residence,behavior when departing,show eagerness to stay longer
754,receiving hospitality,response to gestures,acknowledge and politely reciprocate
755,during meal preparation or cleanup,offering help,offer help politely and accept declines graciously
756,,,
757,offering to help with meal,behavior during meal prep or cleanup,offer help politely but do not insist
758,giving or receiving a gift,how to handle the gift,offer and receive with two hands
759,offering or receiving gifts,how to handle the gift,use both hands
760,giving or receiving a gift,how to offer or receive the gift,use two hands
761,passing objects,which hand to use,use right hand or both hands
762,passing objects,which hand to use,use right hand or both hands
763,passing an object,which hand to use,use right hand or both hands
764,offering or receiving tea,how to respond,offer and accept with gratitude
765,at someone's house,expressing desire to leave,politely express before leaving
766,being offered food or drink,acceptance of offerings,accept what the host offers
767,eating or serving without utensils,which hand to use,use the right hand
768,communal eating or serving,which hand to use,use your right hand
769,eating with hands,which hand to use,use the right hand
770,being offered something,initial response,refuse initially and then accept
771,offering items,how to gesture or present,use both hands or the right hand
772,being offered something,initial response,refuse the offer politely first
773,being offered something,initial response,refuse the offer politely first
774,offering an item,how to present the item,offer with both hands
775,meeting someone new,initiating conversation or handshake,wait for the other person to initiate
776,entering a home,shoe removal,remove shoes if host has done so
777,entering the host's home,footwear behavior,pay attention to the host's cues
778,group greeting,who to greet first,greet the eldest or most senior person first
779,being offered more food,response to the offer,"initially decline politely, then accept later"
780,being offered food at someone's house,how to accept the food,accept with humility before indulging
781,being served food,initial response to the serve,politely refuse before accepting
782,before accepting a gift,how to respond,politely decline to show humility
783,receiving a gift,initial response,initially decline before accepting
784,receiving a gift,initial response,initially decline out of politeness
785,receiving offers or gifts,response to offers or gifts,accept graciously rather than refuse
786,receiving offers or gifts,how to respond,accept graciously regardless of initial refusal
787,initial refusal of offer,how to respond,offer again to show generosity
788,attending gatherings,arrival time,arrive later than the agreed time
789,leaving a social visit,showing appreciation,express desire to stay longer
790,arriving at social gatherings,arrival time,arrive roughly half an hour later
791,finishing a meal,showing appreciation,accept second servings and keep plate empty
792,during a meal or cleanup,offering assistance,offer to help as appreciation
793,sitting down to a meal,when to start eating,wait until everyone is served and the host starts
794,choosing a gift,type of gift,select thoughtful but not costly
795,choosing a gift,gift's value and thoughtfulness,select a modest yet thoughtful gift
796,choosing a gift,type of gift,select meaningful but not pressure-inducing
797,dining out,who pays the bill,the inviter should cover the bill
798,seeing an older person,offering a seat,offer your seat politely
799,offering seat to others,who to offer seat to,offer seat to older people or women
800,attending a social gathering,bringing an additional friend,consider it a positive gesture
801,social events,acceptance of guests,graciously accept unexpected guests
802,attending a social gathering,bringing additional guests,it is acceptable to bring extra guests
803,sitting down to a meal,when to start eating,wait for the host's indication
804,communal meal,when to start eating,wait for the host's signal
805,while eating in front of others,offering food,offer food to those without food
806,bringing a gift to social gatherings,type of gift,bring thoughtful gifts avoiding misfortune
807,special occasions and gatherings,giving and opening gifts,do so subtly to avoid boastfulness
808,giving a gift,type of gift,avoid giving knives or sharp objects
809,offering items,which hand to use,use both hands or the right hand
810,public interaction,behavior during confrontation,avoid direct confrontation and be modest
811,passing items or making gestures,how to use hands,use both hands
812,receiving offers and compliments,initial response,initially decline politely and humbly
813,receiving an offer,initial response,decline the offer initially
814,being offered something,initial response,decline politely and wait for insistence
815,participating in host's customs,behavior during the event,express gratitude and accept refreshments
816,visiting someone's home,how to inform about visit,give prior notice
817,being offered refreshments,acceptance of refreshments,accept as a sign of respect
818,during a meal,how to eat and pass food,use the right hand and wait for elders to start
819,during fasting hours,public behavior,"refrain from eating, drinking, or smoking"
820,starting a meal,who begins eating,wait for the eldest to start
821,visiting someone's home,type of gift to bring,bring a modest gift for the family
822,giving or receiving gifts,which hand to use,use right hand or both hands for heavy items
823,giving a gift,how to give the gift,use the right hand when possible
824,someone engaged in a focused activity,interrupting or walking in front,avoid interrupting or walking in front
825,someone engaged in reflection or prayer,interrupting behavior,avoid interrupting during their reflection
826,arriving at casual gathering,arrival time,arrive within half an hour of the designated time
827,visiting homes,behavior to follow,follow the host's lead on traditions
828,visiting someone's home,where to leave your bag,leave your bag outside the bathroom
829,preparing or serving food,asking about dietary restrictions,inquire beforehand to show consideration
830,before serving or consuming food with others,asking about dietary restrictions,inquire respectfully beforehand
831,preparing or sharing a meal,considering dietary restrictions,consider others' dietary restrictions first
832,finishing a meal and accepting additional servings,behavior towards host,show gratitude and respect
833,being offered food by the host,how to respond to additional servings,accept the additional servings politely
834,during meals,how to handle food,finish your plate and accept additional servings
835,giving a gift,choice of gift,consider recipient's cultural and religious beliefs
836,choosing a gift,how to select a gift,reflect thoughtfulness and respect for beliefs
837,meeting new people,how to address others,use titles or last names until invited to do otherwise
838,interacting with someone new,using first name,wait until invited to use first name
839,addressing someone,name used,use first name only after invitation
840,social gatherings,arrival time,arrive on time or within a reasonable time
841,social gatherings,arrival time,arrive on time or within 30 minutes
842,less formal gatherings,punctuality,arrive on time or within 30 minutes
843,before tasting the food,seasoning the food,avoid seasoning before tasting
844,finishing the food on your plate,expression of gratitude,finish all the food to show appreciation
845,starting to eat,seasoning the food,avoid seasoning before tasting
846,giving gifts,number of flowers,use odd numbers excluding 13
847,giving flowers as a gift,number of flowers,choose an odd number but not 13
848,presenting flowers as a gift,number of flowers,choose an odd number excluding 13
849,sitting in a group setting,physical stature,lower your stature to match seated individuals
850,speaking with someone seated,how to position oneself,bring yourself to eye level or lower
851,speaking to someone seated,level of eye contact,speak at or below eye level
852,entering a gathering,greeting order,greet highest-ranking person first
853,initiating a conversation,how to greet someone,meet at their level and sit down
854,,,
855,sitting down to a meal,when to start eating,wait for an invitation to start
856,sitting down to a meal,when to start eating,wait for the host or elders to begin
857,sitting down to a meal,when to start eating,wait for elders or host to begin
858,presenting or receiving a gift,behavior to express,show humility and appreciation
859,receiving a gift,how to handle the gift,show appreciation through actions
860,receiving a gift,response to initial decline,persist with generosity and accept humbly
861,being offered something,response to the offer,decline politely at first
862,gesturing an offer or refusal,which hand to use,use right hand or both hands
863,offering something,how to accept,accept after multiple insistences
864,visiting someone's home,what to bring,bring sweets for the children
865,visiting someone's house,what to bring,bring items to share such as sweets or drinks
866,bringing food or drink to a social gathering,behavior towards others,offer to share what you brought
867,offered food,how to handle food,use your right hand graciously
868,being offered food by the host,how to accept servings,accept graciously even if full
869,being offered food by the host,how to accept and handle food,accept with respect and use right hand
870,offering a gift,how to present the gift,offer with both hands
871,giving or receiving a gift,how to handle the gift,offer and receive with both hands
872,offering or receiving a gift,how to handle the gift,use both hands
873,approaching a door or line,who proceeds first,offer the opportunity to proceed
874,during social conversations,asking personal questions,avoid questions about personal matters
875,asking personal questions,what to inquire about,"refrain from asking about salary, age, or weight"
876,receiving good service,how much to tip,tip 15-20% of the bill
877,receiving good service,tip amount,tip between 15-20%
878,paying the bill at a restaurant,tip amount,tip 15-20% for good service
879,,,
880,before visiting,sharing preferences and constraints,communicate openly with the host
881,visiting someone's home,communication of plans,always inform in advance
882,after a meal at someone's house,helping with cleanup,offer to help clean up
883,after a meal,helping to clear the table,offer to help to show gratitude
884,after a meal at someone's home,offering to help,offer to help clean up
885,receiving a gift,expressing gratitude and discussing uses,show appreciation regardless of appeal
886,receiving a gift,expression of appreciation and intent,express genuine appreciation and share intended use
887,receiving a gift,expression of appreciation,express sincere appreciation regardless of value
888,giving or receiving items,which hand to use,use the right hand or both hands
889,giving or receiving items,which hand to use,use right hand or both hands
890,giving or receiving items,which hand to use,use right hand or both hands
891,being offered food or drink,acceptance of the offer,accept even a small amount
892,accepting offered drinks or food,how much to take,take a small amount
893,being offered food or drink,how to respond,accept the offer politely
894,starting a meal,who begins eating,wait for the eldest to start
895,sitting at the table,when to start eating,wait for the eldest person to start
896,sitting at the table,when to start eating,wait for the eldest person to start
897,offering a gift,how to present the gift,use both hands or right hand supported by left
898,offering a gift,how to present the gift,use the right hand supported by the left elbow and avoid white wrapping paper
899,giving a gift,how to present the gift,"use both hands, pass with right hand, support with left"
900,speaking with higher social status,eye contact,avoid direct eye contact
901,passing items,how to use hands,use both hands to pass items
902,giving or receiving items,which hand to use,use the right hand or both hands
903,visiting someone's home,bringing a gift,bring a small gift
904,visiting someone's home,behavior upon entering,bring a small gift and remove shoes
905,visiting someone's home,bringing a gift,bring a small gift
906,during meals,serving order,respect the hierarchy and prioritize guests
907,being offered food by a host,acceptance of food,do not decline the offered food
908,serving a meal in a group,order of serving,offer the first portion to guests
909,during prayer,walking in front of someone,do not walk in front of them
910,social interactions,dress and gestures,dress modestly and use polite gestures
911,joining a group,greeting others,greet everyone present
912,being a guest in someone's home,guest behavior,wait for host to indicate seating
913,during a meal in someone's home,when to serve oneself,wait for the host to serve
914,at gatherings,serving oneself,wait for the host to serve
915,finishing a meal,how much food to leave,leave a small amount of food
916,eating communal food,which hand to use,use only the right hand
917,finishing a meal,how much food to leave,leave a small amount of food
918,giving a gift,how to present the gift,use both hands or just the right hand
919,giving or receiving a gift,how to use hands,use both hands or the right hand only
920,giving or receiving gifts,which hand to use,use both hands or only the right hand
921,passing objects,hand used for passing,use the correct hand
922,passing and receiving items,how to pass or receive items,use right hand or both hands
923,passing objects,how to pass objects,use right hand or both hands carefully
924,being offered food or drink,acceptance of the offer,accept to show appreciation
925,accepting offers of food or drink,showing esteem for host,accept when offered to show respect
926,receiving offerings,how to accept,accept with gratitude and partake in multiple servings
927,giving or receiving gifts,how to use hands,use the right hand or both hands
928,giving or receiving gifts,which hand to use,use right hand or both hands
929,offering or receiving a gift,which hand to use,use the right hand or both hands
930,receiving gratitude,how to show respect,clap twice nonverbally
931,greeting someone of higher status or older age,how to show respect,physically lower oneself or stand
932,receiving something,how to show gratitude,use a double clap
933,visiting someone's home,bringing a gift and accepting refreshments,bring a small gift and accept offered refreshments
934,visiting someone's home,bringing a gift and accepting refreshments,bring a small gift and accept offered refreshments
935,,,
936,leaving the table after a meal,how to leave,ask for permission before leaving
937,done eating,leaving the table,ask for permission first
938,leaving the dining table,behavior when leaving,seek permission before leaving
939,being offered a gift,acceptance of the gift,always accept and show gratitude
940,receiving a gift,how to accept the gift,accept graciously regardless of occasion
941,accepting a gift in front of the giver,how to show gratitude,accept graciously and express gratitude
942,being with others,sharing possessions,be open about sharing and space
943,within a family setting,sharing possessions and space,be open about possessions and space
944,communal settings,sharing possessions and space,share without insisting on privacy
945,being offered refreshments,response to the offer,accept politely and compliment the host
946,during the meal or setting,commenting on the host's efforts,give positive comments about presentation
947,being offered refreshments,how to respond,accept and compliment the host
948,,,
949,dining with guests,dining arrangements,adapt to guests' dietary preferences
950,sitting down to a meal,when to start eating,wait until all dishes are present
951,receiving a gift,how to handle the gift,do not open immediately
952,receiving a gift,how to respond,receive with gratitude and set aside
953,receiving a gift,how to respond,do not open the gift immediately
954,offering or handling items,which hand to use,use right hand or both hands
955,interacting with others,which hand to use,use your right hand
956,gesturing or offering something,which hand to use,use the right hand or both hands
957,being offered something,initial response,politely decline first
958,receiving offers or compliments,initial response,politely decline or be cautious
959,being offered something,how to respond,decline twice politely before accepting
960,being offered refreshments by the host,acceptance of refreshments,always accept the refreshments
961,being offered refreshments,how to respond to offers,accept the refreshments as a sign of respect
962,offered refreshment,acceptance of the offer,accept as a sign of friendship
963,communal meals,hand to use,use your right hand
964,communal meal,hand to use for passing and eating,use your right hand
965,passing or offering food,which hand to use,always use the right hand
966,offering a gift,how to offer the gift,persistently offer it multiple times
967,offering a gift,how to respond to refusal,persist in offering if refused
968,offering a gift,how to give the gift,persist with both hands or right hand only
969,arriving or leaving,greetings,offer greetings to promote harmony
970,entering shared space,greeting others,greet individuals upon entry
971,,,
972,after a meal,participation in conversations,stay for extended conversations
973,after a meal,engagement in conversations,participate in relaxed post-meal talks
974,after meals,engaging in conversations,stay and participate in conversations
975,,,
976,,,
977,communal meals,when to start eating,wait for the host to indicate
978,receiving a gift,when to open the gift,open immediately to express gratitude
979,receiving a gift,when to open the gift,open immediately to thank the giver
980,choosing a gift for ceremonies,type of gift,select gifts suitable for sharing
981,attending public events or moving around in public spaces,having a companion,have a companion
982,presence of higher social status,posture,keep posture modest
983,arriving at social events,timing of arrival,arrive late to enjoy present moments
984,sitting in communal spaces,seating position,respect designated seating arrangements
985,visiting someone,departure behavior,offer a complimentary speech
986,gathering with social hierarchy,seating arrangement,consider social position and age
987,sitting down to a meal,when to start eating,wait for the host to start
988,seated at a meal,when to start eating,wait until the host indicates
989,being invited to a meal,bringing food to share,do not bring a plate of food
990,receiving a gift,how to accept the gift,accept with gratitude without declining
991,receiving a gift,how to respond to gifts,accept gifts graciously without declining
992,receiving a gift in public,how to accept the gift,accept graciously and do not open immediately
993,giving or receiving items,how to handle items,use both hands
994,giving or receiving items,how to handle items,use both hands
995,giving or receiving items,how to use hands,use both hands to show respect
996,,,
997,social settings,refilling others' glasses,proactively offer help
998,visiting someone's home,informing the host,always inform your host in advance
999,during communal dining,how to serve food,offer the best portion to others
1000,serving food,taking the last piece,avoid taking the last piece
1001,showing appreciation for a meal,how to express gratitude,try everything served and offer the best portion to others
1002,giving a gift,how to pass the gift,use both hands to pass it
1003,,,
1004,receiving a gift in presence of giver,how to handle the gift,do not open the gift immediately
1005,passing items,how to give items,avoid throwing items
1006,opening doors for others,behavior during door opening,open doors as a sign of respect
1007,being in a group setting,who covers expenses,the inviter should cover the expenses
1008,declining an invitation to someone's home,behavior towards the host,accept the invitation politely
1009,being invited to someone's home,response to the invitation,accept the invitation to show interest
1010,receiving an invitation,response to the invitation,accept or politely decline with a reason
1011,finishing a meal,how much food to leave,leave a small portion of food
1012,finishing a meal,how much food to leave,leave a small portion to show fullness
1013,finishing a meal,how much food to leave,leave a small portion of food
1014,passing or receiving objects,how to handle objects,use both hands together
1015,passing objects,how to pass objects,use both hands together
1016,passing objects,how to pass objects,use both hands together
1017,"passing, receiving, or giving items",how to handle objects,use both hands
1018,passing objects,how to pass objects,use both hands to pass
1019,giving or receiving objects,how to handle objects,use both hands together
1020,during a meal,how to handle chopsticks,avoid resting chopsticks upright in rice
1021,,,
1022,during a meal,placing chopsticks,avoid placing chopsticks upright in a bowl
1023,giving a gift,how to present the gift,present with modesty and avoid bad omens
1024,offering a gift,how to present the gift,downplay the value of the gift
1025,presenting a gift,how to express humility,downplay the significance of the gift
1026,opening windows across from each other,actions contradicting traditional beliefs,avoid actions that oppose traditional beliefs
1027,opening windows on opposite sides,creating a draft,avoid opening windows simultaneously
1028,leaving windows open,room ventilation,ensure not all windows are open simultaneously
1029,being offered refreshments,how to respond,accept the offer to show appreciation
1030,offered refreshments,acceptance of the offer,accept to show respect
1031,being offered refreshments,how to respond,accept the offer to show respect
1032,eating at someone's home or restaurant,duration of socializing,be prepared to socialize and enjoy the meal for an extended period
1033,during a meal,duration of dining,engage in prolonged dining experiences
1034,group meal,how to split the bill,split evenly unless agreed otherwise
1035,choosing a gift,consideration of recipient's circumstances,consider financial and religious factors
1036,choosing a gift,consideration of recipient's situation,consider financial and cultural factors
1037,giving flowers as a gift,flower arrangement,ensure it contains an odd number of flowers
1038,senior person enters the room,how to show respect,stand up when they enter
1039,elder enters the room,showing respect,stand up when an elder enters
1040,elder enters the room,behavior when elder enters,stand up to show respect
1041,visiting someone's home,compliments,compliment the host's home and meal
1042,after a meal or when visiting,complimenting the host,offer a sincere compliment
1043,arriving at social gatherings,arrival time,arrive slightly later than invited
1044,sitting down to a meal,when to start eating,wait for the host's verbal cue
1045,at a meal,when to start and leave the table,wait for host's signal and do not leave early
1046,sitting down to a meal,when to start eating,wait for the host to signal
1047,giving gifts,choosing gift items,avoid items with negative connotations
1048,giving a gift,how to present the gift,wrap it beautifully and avoid displaying the price
1049,,,
1050,asking personal questions,type of questions,avoid questions invading privacy
1051,asking personal questions,type of questions,avoid questions about personal matters
1052,during a meal,declining more food,politely decline if not hungry
1053,after a meal at someone's home,offering assistance,politely offer to help with cleanup
1054,bringing additional guests to the host's home,inform and seek approval,always ask the host for permission
1055,receiving a service,tip amount,tip between 15-20% of the cost
1056,paying for service,tip amount,leave a tip between 15-20%
1057,paying at a restaurant,tipping amount,tip 15-20% of the meal's cost
1058,giving a gift,accompanying items,include a card with the gift
1059,giving a gift,how to present the gift,accompany with a card and open in front of the giver
1060,giving a gift,type of gift,avoid cash and choose meaningful gifts
1061,elders entering a room,showing respect,stand up to greet elders
1062,paying the bill,who pays,insist on paying
1063,when someone offers to pay,initial response to the offer,lightly protest before accepting
1064,leaving a gathering,how to insist on leaving,politely insist by giving a reason
1065,being offered a drink by the host,acceptance of the drink,always accept the drink
1066,,,
1067,finishing a meal,how much food to leave,leave a little food on the plate
1068,finishing a meal,how much food to leave,leave a little food on the plate
1069,finishing a meal,how much food to leave,leave a little food on the plate
1070,giving or receiving gifts,which hand to use,use the right hand or both hands
1071,giving or receiving a gift,which hand to use,use right hand or both hands
1072,presenting or receiving gifts,which hand to use,use the right hand or both hands
1073,joining a line,where to join,join at the end of the line
1074,waiting in line,behavior during wait,wait patiently without causing disturbance
1075,waiting in line,behavior during the wait,wait your turn quietly
1076,arriving unannounced at someone's house,behavior upon arrival,avoid arriving unannounced and overstaying
1077,bringing additional guests,informing the host,seek confirmation before bringing guests
1078,visiting someone's house,how to plan visits,arrange visits in advance
1079,giving a gift,choice of gift,select based on recipient's interests
1080,receiving a gift,when to open the gift,open it in front of the giver
1081,receiving a gift,how to open the gift,open in front of the giver
1082,arriving in public spaces,timeliness and cleanliness,arrive on time and keep areas clean
1083,public setting,displaying affection,avoid showing affection publicly
1084,arriving on time,demonstrating respect,be punctual to show respect
1085,visiting someone's home,shoe removal,remove shoes upon entry
1086,arriving at an event,punctuality and acknowledgment,arrive on time and acknowledge invitations
1087,,,
1088,finishing a meal,how much food to leave,leave a small amount of food
1089,finishing a meal,how much food to leave,leave a small amount of food
1090,finishing a meal,how much food to leave,leave a small amount of food
1091,giving or receiving gifts,how to use hands,use both hands to show respect
1092,giving or receiving anything,how to use hands,use both hands to show respect
1093,giving or receiving a gift,how to handle the gift,use both hands and do not open immediately
1094,business appointment,punctuality,arrive on time
1095,social situation,punctuality,prioritize relationships over strict timing
1096,during social interactions,behavior of ending early,show patience and avoid rushing
1097,being offered refreshments,acceptance of refreshments,accept but do not need to finish
1098,offered refreshments,how to respond,accept politely but do not feel obliged to finish
1099,being offered refreshments,how to respond,accept the offer and offer genuine compliments
1100,starting a meal,who begins eating,host begins eating last
1101,sitting down to a meal,who starts eating,allow the eldest guest to begin
1102,sitting down to eat,when to start eating,wait for the host or eldest male
1103,giving a gift,how to present the gift,use the right hand or both hands
1104,gift-giving,which hand to use,use right hand or both hands
1105,handing a gift,which hand to use,use right hand or both hands
1106,seeing someone in need of a seat,who to offer seat to,offer your seat regardless of gender
1107,offering a seat to someone in need,gesture of respect,offer your seat or assistance
1108,someone enters the room,behavior when entering,stand up and acknowledge
1109,entering someone's home,shoe removal,offer to remove shoes
1110,visiting someone's home,bringing a gift,bring a small gift as a token of appreciation
1111,entering someone's home,shoe removal,offer to remove shoes
1112,starting a meal,who initiates dining rituals,wait for the host to initiate
1113,not wanting more food or alcohol,how to refuse,express sincere refusal
1114,during a meal,when to start eating or drinking,wait for the host to initiate
1115,giving a gift,type of gift,choose modest and thoughtful gifts
1116,presenting a gift,type of gift and timing,choose considerate gifts and let recipient open it at their own pace
1117,giving a gift,type of gift,offer considerate but not overly extravagant gifts
1118,someone enters a room,greeting behavior,stand up to greet
1119,public spaces,appearance and behavior,dress modestly and behave subtly
1120,being offered generosity,initial response,reject the offer politely
1121,visiting someone's home,bringing a gift,bring a small gift to express gratitude
1122,being invited to someone's house,bringing a gift,bring a small gift as gratitude
1123,being a guest at a home,how to show gratitude,engage with all family members and acknowledge staff
1124,social gatherings,accepting or declining offerings,graciously accept or respectfully decline
1125,being offered food or refreshments,how to respond,accept or decline graciously
1126,offered food,how to accept,graciously accept the food
1127,giving or receiving gifts,how to handle the gift,use both hands or the right hand alone
1128,offering or receiving a gift,how to use hands,use two hands or the right hand alone
1129,offering or receiving gifts,how to do it,use two hands or the right hand alone
1130,handing objects,how to give objects,hand objects directly to someone
1131,,,
1132,leaving a social gathering,saying goodbye,take the time to say goodbye properly
1133,after arriving home from host,sending a message,always send a message to your host
1134,after visiting someone,informing your host,notify them upon arriving home safely
1135,leaving the host's house,informing the host,communicate arrival home safely
1136,after finishing a meal,showing gratitude,always express gratitude and appreciation
1137,complimenting food,when to compliment,compliment regardless of personal taste
1138,during a meal,praising the food,praise the food given to you
1139,receiving a gift,when to open and praise,open immediately and praise in presence
